Station Name,Current Output (MW),Region,Most Recent Output Time (AEST),Current % of Max Cap,Current % of Reg Cap,Max Cap (MW),Reg Cap (MW),Max ROC/Min,Unit Size (MW),Physical Unit No.,Participant,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Lat,Lon
Butlers Gorge Power Station,8.399999,TAS1,2022-07-01T11:05:00+0000,56,58.33,15,14.4,,14.4,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,BUTLERSG,-42.266898,146.261758
Capital Wind Farm,51.376007,NSW1,2022-07-01T11:05:00+0000,36.7,36.7,140,140,,2,Jan-67,Infigen Energy Markets Pty Limited,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,CAPTL_WF,-35.16603062,149.5185686
Cathedral Rocks Wind Farm,3.6,SA1,2022-07-01T11:05:00+0000,5.45,5.45,66,66,,2,Jan-33,Cathedral Rocks Wind Farm Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,CATHROCK,-34.850861,135.585172
Challicum Hills Wind Farm,12.6,VIC1,2022-07-01T11:05:00+0000,23.77,24,53,52.5,,1.5,Jan-35,Pacific Hydro Challicum Hills Pty Ltd,Generator,Non-Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,CHALLHWF,-37.38978902,143.1139711
Cluny Power Station,11.205768,TAS1,2022-07-01T11:05:00+0000,58.98,65.92,19,17,,17,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,CLUNY,-42.506423,146.681162
Cullerin Range Wind Farm,23.940001,NSW1,2022-07-01T11:05:00+0000,79.8,79.8,30,30,,2,15-Jan,Origin Energy Electricity Limited,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,CULLRGWF,-34.80498162,149.4001296
Eraring Power Station,0,NSW1,2022-07-01T11:05:00+0000,0,0,56,41.5,,41.5,1,Origin Energy Electricity Limited,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),N,ERGT01,-33.06174875,151.5223301
Broken Hill Gas Turbines,0,NSW1,2022-07-01T11:05:00+0000,0,0,50,50,,25,2-Jan,Essential Energy,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),N,GB01,-31.986296,141.420334
Lake Bonney Wind Farm,0,SA1,2022-07-01T11:05:00+0000,0,0,81,80.5,,1.75,Jan-46,Lake Bonney Wind Power Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,LKBONNY1,-37.77134988,140.3980839
Mortons Lane Wind Farm,2.16,VIC1,2022-07-01T11:05:00+0000,10.8,10.8,20,20,,1.5,13-Jan,Mortons Lane Windfarm Pty Limited,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,MLWF1,-37.835,142.45
Mt Millar Wind Farm,14.8,SA1,2022-07-01T11:05:00+0000,21.14,21.14,70,70,,2,Jan-35,Mt Millar Wind Farm Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,MTMILLAR,-33.626728,136.704562
Paloona Power Station,21.719999,TAS1,2022-07-01T11:05:00+0000,65.82,77.57,33,28,,28,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,PALOONA,-41.282616,146.248964
Portland Wind Farm,7.3,VIC1,2022-07-01T11:05:00+0000,4.93,4.93,148,148,,2,Jan-74,Pacific Hydro Portland Wind Farm Pty Ltd,Generator,Non-Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,PORTWF,-38.412,141.543
Repulse Power Station,18.084383,TAS1,2022-07-01T11:05:00+0000,62.36,64.59,29,28,,28,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,REPULSE,-42.507695,146.64696
Rowallan Power Station,8.0372,TAS1,2022-07-01T11:05:00+0000,73.07,76.54,11,10.5,,10.5,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,ROWALLAN,-41.729523,146.217593
Rocky Point Cogeneration Plant,-0.1,QLD1,2022-07-01T11:05:00+0000,-0.33,-0.33,30,30,,30,1,FPC 30 Limited,Generatir,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,N,RPCG,-27.73368,153.32694
Starfish Hill Wind Farm,0.6998,SA1,2022-07-01T11:05:00+0000,2,2.03,35,34.5,,1.5,23-Jan,Starfish Hill Wind Farm Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,STARHLWF,-35.567765,138.143238
Waubra Wind Farm,64.239998,VIC1,2022-07-01T11:05:00+0000,33.46,33.46,192,192,,1.5,1-128,Pyrenees Wind Energy Development Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,WAUBRAWF,-37.3559815,143.605915
Woolnorth Studland Bay / Bluff Point Wind Farm,1.25,TAS1,2022-07-01T11:05:00+0000,0.89,0.89,140,140,,"1.75, 3","WBP 1-37, WSB 1-25",Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,WOOLNTH1,-40.778754,144.736204
Wattle Point Wind Farm,0.64,SA1,2022-07-01T11:05:00+0000,0.7,0.71,91,90.75,,1.65,Jan-55,AGL Hydro Partnership,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,WPWF,-35.121355,137.716618
Yambuk Wind Farm,7,VIC1,2022-07-01T11:05:00+0000,23.33,23.33,30,30,,1.5,20-Jan,Energy Pacific (Vic) Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,YAMBUKWF,-38.30835521,142.0100326
Hallett Power Station,32.05971,SA1,2022-07-01T11:05:00+0000,14.57,17.81,220,180,44,"16.8, 25.2, 16.8, 17.9","1-4, 5-6, 7-10, 11-12",EnergyAustralia Pty Ltd,Generator,Market,Scheduled,Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas Turbine (OCGT),Y,AGLHAL,-33.348652,138.751659
Somerton Power Station,119.9,VIC1,2022-07-01T11:05:00+0000,70.53,74.94,170,160,30,40,4-Jan,AGL Hydro Partnership,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Y,AGLSOM,-37.631822,144.953077
Barcaldine Power Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,37,37,3,37,1,Ergon Energy Queensland Pty Ltd,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),N,BARCALDN,-23.552452,145.314186
Barron Gorge Power Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,33,30,4,30,1,Stanwell Corporation Limited,Generator,Market,Scheduled,Hydro,Water,Renewable,Run of River,N,BARRON-1,-16.850199,145.646495
Barron Gorge Power Station,28.32,QLD1,2022-07-01T11:05:00+0000,85.82,94.4,33,30,4,30,2,Stanwell Corporation Limited,Generator,Market,Scheduled,Hydro,Water,Renewable,Run of River,N,BARRON-2,-16.850199,145.646495
Bastyan Power Station,80.96001,TAS1,2022-07-01T11:05:00+0000,92,101.33,88,79.9,40,79.9,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,BASTYAN,-41.735983,145.532112
Bell Bay Three Power Station,0,TAS1,2022-07-01T11:05:00+0000,0,0,49,35,10,35,1,Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,BBTHREE1,-41.141944,146.9025
Bell Bay Three Power Station,0,TAS1,2022-07-01T11:05:00+0000,0,0,49,35,10,35,2,Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,BBTHREE2,-41.141944,146.9025
Bell Bay Three Power Station,0,TAS1,2022-07-01T11:05:00+0000,0,0,49,35,10,35,3,Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,BBTHREE3,-41.141944,146.9025
Bairnsdale Power Station,44.22,VIC1,2022-07-01T11:05:00+0000,94.09,94.09,47,47,4,47,1,Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,BDL01,-37.842859,147.56393
Bairnsdale Power Station,0,VIC1,2022-07-01T11:05:00+0000,0,0,47,47,4,47,2,Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,BDL02,-37.842859,147.56393
Blowering Power Station,61.4,NSW1,2022-07-01T11:05:00+0000,76.75,87.71,80,70,10,70,1,Snowy Hydro Limited,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,BLOWERNG,-35.398601,148.246272
The Bluff Wind Farm,9.8,SA1,2022-07-01T11:05:00+0000,18.67,18.67,52.5,52.5,30,2.1,25-Jan,AGL Hydro Partnership,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,BLUFF1,-33.369331,138.982476
Braemar Power Station,179.8,QLD1,2022-07-01T11:05:00+0000,103.93,107.02,173,168,43,168,1,Braemar Power Project Pty Ltd,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),N,BRAEMAR1,-27.110934,150.905337
Braemar Power Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,173,168,43,168,2,Braemar Power Project Pty Ltd,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),N,BRAEMAR2,-27.110934,150.905337
Braemar Power Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,173,168,43,168,3,Braemar Power Project Pty Ltd,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),N,BRAEMAR3,-27.110934,150.905337
Braemar 2 Power Station,0.13092,QLD1,2022-07-01T11:05:00+0000,0.08,0.08,173,173,35,173,5,NewGen Braemar 2 Partnership,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),N,BRAEMAR5,-27.11281127,150.9048783
Braemar 2 Power Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,173,173,35,173,6,NewGen Braemar 2 Partnership,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),N,BRAEMAR6,-27.11281127,150.9048783
Braemar 2 Power Station,160.98494,QLD1,2022-07-01T11:05:00+0000,93.05,93.05,173,173,35,173,7,NewGen Braemar 2 Partnership,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),N,BRAEMAR7,-27.11281127,150.9048783
Bayswater Power Station,659.75,NSW1,2022-07-01T11:05:00+0000,94.25,99.96,700,660,140,660,1,AGL Macquarie Pty Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,BW01,-32.39527,150.94913
Bayswater Power Station,678.25,NSW1,2022-07-01T11:05:00+0000,96.89,102.77,700,660,140,660,2,AGL Macquarie Pty Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,BW02,-32.39527,150.94913
Bayswater Power Station,0,NSW1,2022-07-01T11:05:00+0000,0,0,700,660,140,660,3,AGL Macquarie Pty Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,BW03,-32.39527,150.94913
Bayswater Power Station,655.625,NSW1,2022-07-01T11:05:00+0000,93.66,99.34,700,660,140,660,4,AGL Macquarie Pty Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,BW04,-32.39527,150.94913
Callide B Power Station,330.30002,QLD1,2022-07-01T11:05:00+0000,85.79,94.37,385,350,77,350,1,CS Energy Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,CALL_B_1,-24.34488,150.619749
Callide B Power Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,385,350,77,350,2,CS Energy Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,CALL_B_2,-24.34488,150.619749
Cethana Power Station,81.659,TAS1,2022-07-01T11:05:00+0000,81.66,96.07,100,85,40,85,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,CETHANA,-41.480237,146.134849
Colongra Power Station,178.11626,NSW1,2022-07-01T11:05:00+0000,98.41,98.41,181,181,34,181,1,Snowy Hydro Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,CG1,-33.209869,151.544785
Colongra Power Station,177.10376,NSW1,2022-07-01T11:05:00+0000,97.85,97.85,181,181,34,181,2,Snowy Hydro Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,CG2,-33.209869,151.544785
Colongra Power Station,178.1575,NSW1,2022-07-01T11:05:00+0000,98.43,98.43,181,181,34,181,3,Snowy Hydro Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,CG3,-33.209869,151.544785
Colongra Power Station,0,NSW1,2022-07-01T11:05:00+0000,0,0,181,181,34,181,4,Snowy Hydro Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,CG4,-33.209869,151.544785
Clements Gap Wind Farm,6.19501,SA1,2022-07-01T11:05:00+0000,10.87,10.87,57,57,12,2,27-Jan,Pacific Hydro Clements Gap Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,CLEMGPWF,-33.50856771,138.1191752
Callide Power Plant,380.05002,QLD1,2022-07-01T11:05:00+0000,76.01,90.49,500,420,100,420,3,Callide Power Trading Pty Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,N,CPP_3,-24.334025,150.627973
Callide Power Plant,0,QLD1,2022-07-01T11:05:00+0000,0,0,500,420,100,420,4,Callide Power Trading Pty Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,N,CPP_4,-24.334025,150.627973
Condamine Power Station A,71.08562,QLD1,2022-07-01T11:05:00+0000,49.37,49.37,144,144,29,"43, 57","1-2, 3",QGC Sales Qld Pty Ltd,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),Y,CPSA,-26.66822221,150.2700145
Dartmouth Power Station,0,VIC1,2022-07-01T11:05:00+0000,0,0,185,150,60,150,1,AGL Hydro Partnership,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,DARTM1,-36.556429,147.52058
Darling Downs Power Station,482.68823,QLD1,2022-07-01T11:05:00+0000,72.8,74.95,663,644,10,"280, 121","0, 1-3",Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),Y,DDPS1,-27.11689141,150.894217
Devils Gate Power Station,63.62499,TAS1,2022-07-01T11:05:00+0000,97.88,106.04,65,60,40,60,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,DEVILS_G,-41.350467,146.263167
Dry Creek Gas Turbine Station,0,SA1,2022-07-01T11:05:00+0000,0,0,57,52,12,52,1,Synergen Power Pty Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,DRYCGT1,-34.847463,138.581758
Dry Creek Gas Turbine Station,0,SA1,2022-07-01T11:05:00+0000,0,0,57,52,12,52,2,Synergen Power Pty Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,DRYCGT2,-34.847463,138.581758
Dry Creek Gas Turbine Station,0,SA1,2022-07-01T11:05:00+0000,0,0,57,52,12,52,3,Synergen Power Pty Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,DRYCGT3,-34.847463,138.581758
Eildon Power Station,0,VIC1,2022-07-01T11:05:00+0000,0,0,60,60,20,60,1,AGL Hydro Partnership,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,EILDON1,-37.222005,145.921452
Eildon Power Station,0,VIC1,2022-07-01T11:05:00+0000,0,0,60,60,20,"60, 7.5","2, 2b",AGL Hydro Partnership,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,EILDON2,-37.222005,145.921452
Eraring Power Station,664.5,NSW1,2022-07-01T11:05:00+0000,88.6,92.29,750,720,20,720,1,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,ER01,-33.06174875,151.5223301
Eraring Power Station,668.375,NSW1,2022-07-01T11:05:00+0000,89.12,92.83,750,720,20,720,2,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,ER02,-33.06174875,151.5223301
Eraring Power Station,667.125,NSW1,2022-07-01T11:05:00+0000,88.95,92.66,750,720,20,720,3,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,ER03,-33.06174875,151.5223301
Eraring Power Station,668.67505,NSW1,2022-07-01T11:05:00+0000,89.16,92.87,750,720,20,720,4,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,ER04,-33.06174875,151.5223301
Fisher Power Station,31.03,TAS1,2022-07-01T11:05:00+0000,67.46,71.83,46,43.2,30,43.2,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,FISHER,-41.67324,146.268518
Gordon Power Station,264.81232,TAS1,2022-07-01T11:05:00+0000,58.85,61.3,450,432,180,144,3-Jan,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,GORDON,-42.738642,145.981165
Gladstone Power Station,156.625,QLD1,2022-07-01T11:05:00+0000,54.96,55.94,285,280,57,280,1,CS Energy Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,GSTONE1,-23.850753,151.218653
Gladstone Power Station,149.97499,QLD1,2022-07-01T11:05:00+0000,52.62,53.56,285,280,57,280,2,CS Energy Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,GSTONE2,-23.850753,151.218653
Gladstone Power Station,0,QLD1,2022-07-01T11:05:00+0000,0,0,285,280,57,280,3,CS Energy Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,GSTONE3,-23.850753,151.218653
Gladstone Power Station,166.25,QLD1,2022-07-01T11:05:00+0000,58.33,59.38,285,280,57,280,4,CS Energy Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,GSTONE4,-23.850753,151.218653
Gladstone Power Station,149.8,QLD1,2022-07-01T11:05:00+0000,52.56,53.5,285,280,57,280,5,CS Energy Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,GSTONE5,-23.850753,151.218653
Gladstone Power Station,200.02499,QLD1,2022-07-01T11:05:00+0000,70.18,71.44,285,280,57,280,6,CS Energy Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,GSTONE6,-23.850753,151.218653
Gullen Range Wind Farm,91.24588,NSW1,2022-07-01T11:05:00+0000,53.05,54.97,172,166,34,1.5,1-17.,New Gullen Range Wind Farm Pty Ltd,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,GULLRWF1,-34.614456,149.459531
